代码,名称,今日涨幅
002652,扬子新材,10.14
601777,千里科技,10.05
002843,泰嘉股份,10.03
600629,华建集团,10.02
600793,宜宾纸业,10.01
002870,香山股份,10.01
603119,浙江荣泰,10.0
000777,中核科技,9.99
600370,三房巷,9.95
002640,跨境通,9.93
002626,金达威,5.98
603013,亚普股份,5.94
002050,三花智控,5.5
605136,丽人丽妆,5.27
603895,天永智能,5.21
002987,京北方,4.7
603270,金帝股份,4.6
603380,易德龙,4.42
605488,福莱新材,4.37
603662,柯力传感,4.12
603919,金徽酒,3.08
000997,新 大 陆,3.07
600433,冠豪高新,3.07
601595,上海电影,3.03
001373,翔腾新材,2.91
002766,索菱股份,2.82
603004,鼎龙科技,2.76
603038,华立股份,2.18
001238,浙江正特,1.76
600567,山鹰国际,1.72
000768,中航西飞,1.69
