代码,名称,状态,战绩,现价,今日量比,RSI6,距60日线,今日涨跌
002027,分众传媒,筑底/平量,连跌2天首红,6.45,0.74,25.4,10.9%,0.5%
002194,武汉凡谷,筑底/平量,连跌1天首红,10.36,0.43,16.9,23.0%,1.5%
603712,七一二,筑底/平量,连跌1天首红,16.33,0.52,29.7,22.0%,1.4%
002111,威海广泰,筑底/平量,连跌1天首红,9.48,0.56,28.0,11.9%,1.2%
601108,财通证券,筑底/平量,连跌1天首红,7.67,0.56,24.5,12.7%,0.9%
603035,常熟汽饰,筑底/平量,连跌1天首红,13.68,0.56,26.4,11.8%,1.2%
600843,上工申贝,筑底/平量,连跌1天首红,9.39,0.58,27.8,19.5%,1.4%
002892,科力尔,筑底/平量,连跌1天首红,10.95,0.59,24.0,14.6%,0.5%
002373,千方科技,筑底/平量,连跌1天首红,9.59,0.61,26.4,22.1%,0.6%
600635,大众公用,筑底/平量,连跌1天首红,5.86,0.62,20.8,10.1%,1.4%
002406,远东传动,筑底/平量,连跌1天首红,7.06,0.63,27.2,13.1%,1.2%
600271,航天信息,筑底/平量,连跌1天首红,8.53,0.64,26.1,20.5%,0.8%
600197,伊力特,筑底/平量,连跌1天首红,11.95,0.65,26.5,12.5%,1.0%
603901,永创智能,筑底/平量,连跌1天首红,11.42,0.65,24.2,23.1%,0.7%
603915,国茂股份,筑底/平量,连跌1天首红,14.52,0.66,25.8,17.8%,1.3%
600588,用友网络,筑底/平量,连跌1天首红,11.79,0.66,24.1,19.7%,1.4%
001322,箭牌家居,筑底/平量,连跌1天首红,7.49,0.67,26.5,16.9%,0.7%
600877,电科芯片,筑底/平量,连跌1天首红,15.82,0.67,28.0,20.3%,1.4%
002410,广联达,筑底/平量,连跌1天首红,11.25,0.69,25.6,17.9%,1.0%
002590,万安科技,筑底/平量,连跌1天首红,12.24,0.69,25.1,18.0%,1.1%
600728,佳都科技,筑底/平量,连跌1天首红,5.62,0.73,22.7,17.5%,0.5%
000837,秦川机床,筑底/平量,连跌1天首红,10.57,0.74,25.7,16.8%,0.0%
600879,航天电子,筑底/平量,连跌1天首红,21.22,0.75,21.2,16.8%,-0.4%
002527,新时达,筑底/平量,连跌1天首红,13.57,0.88,27.2,17.2%,0.4%
002037,保利联合,筑底/平量,连跌0天首红,8.02,0.69,29.7,15.4%,1.4%
600595,中孚实业,筑底/平量,连跌0天首红,7.1,0.73,16.4,21.1%,0.1%
000716,黑芝麻,筑底/平量,连跌0天首红,5.27,0.75,27.2,15.6%,0.8%
600828,茂业商业,筑底/平量,连跌0天首红,5.61,0.83,28.6,14.2%,1.3%
002765,蓝黛科技,筑底/平量,连跌0天首红,10.16,0.91,28.1,16.9%,1.4%
600338,西藏珠峰,筑底/平量,连跌0天首红,15.81,0.96,29.7,11.3%,1.0%
000060,中金岭南,筑底/平量,连跌0天首红,6.13,1.04,27.3,11.8%,0.8%
