代码,名称,今日涨幅
002030,达安基因,9.93
601609,金田股份,5.96
000042,中洲控股,5.72
605369,拱东医疗,5.49
603959,百利科技,4.92
600610,中毅达,4.45
603110,东方材料,3.26
605069,正和生态,3.12
601199,江南水务,3.12
002111,威海广泰,2.92
000565,渝三峡Ａ,2.78
601512,中新集团,2.6
600969,郴电国际,2.56
000906,浙商中拓,2.13
603125,常青科技,1.98
603329,上海雅仕,1.75
600830,香溢融通,1.65
603006,联明股份,1.65
002587,奥拓电子,1.54
603768,常青股份,1.33
000567,海德股份,1.19
600081,东风科技,0.95
605122,四方新材,0.81
601177,杭齿前进,0.48
603779,威龙股份,0.0
002313,日海智能,-0.2
002606,大连电瓷,-0.45
000925,众合科技,-0.81
002712,思美传媒,-0.86
000783,长江证券,-1.44
000716,黑芝麻,-1.92
603600,永艺股份,-2.0
